pidp,sclfsato,age_dv,fimnnet_dv,nchild_dv,hiqual_dv,hhsize,ever_married,log_income,sex_female,occ_2.0,occ_3.0
1185185666,5.0,30.0,2693.15991210938,0,1.0,1.0,1,7.8988417138238685,1,True,False
1185226466,6.0,42.0,4108.330078125,0,1.0,2.0,0,8.321015296181544,1,False,False
1224013607,2.0,31.0,1424.0,0,3.0,2.0,1,7.261927092702751,0,False,True
1224013611,5.0,55.0,0.0,0,5.0,2.0,1,0.0,1,False,False
1224014967,4.0,40.0,1520.0,2,1.0,4.0,0,7.327123292259293,0,False,True
1224016343,6.0,30.0,1393.0,0,3.0,2.0,0,7.2399325913204695,1,False,True
1224019727,4.0,50.0,700.919982910156,0,5.0,1.0,1,6.553819413070622,0,False,False
1224032659,6.0,43.0,1500.0,0,1.0,,0,7.313886831633462,1,False,True
1224043527,6.0,59.0,2266.669921875,0,3.0,1.0,1,7.726508117163941,1,False,False
1224043531,6.0,57.0,1040.35998535156,0,5.0,1.0,1,6.948282816091561,0,True,False
1224049651,5.0,60.0,368.329986572266,0,4.0,2.0,0,5.911690516970624,0,False,False
1224057819,6.0,28.0,1799.0,1,3.0,3.0,0,7.495541943884256,0,False,False
1224059171,4.0,55.0,2689.0,0,3.0,1.0,1,7.897296472595885,1,False,False
1224059847,6.0,58.0,1073.0400390625,0,3.0,2.0,0,6.979182554692818,1,True,False
1224059851,3.0,58.0,3050.0,0,2.0,2.0,0,8.02322468471667,0,False,False
1224059855,6.0,29.0,2690.0,0,1.0,1.0,1,7.897668150726906,0,True,False
1224061891,6.0,54.0,1315.48999023438,0,3.0,1.0,0,7.182724375591378,1,True,False
1224063927,6.0,58.0,1828.67004394531,0,4.0,3.0,0,7.51189092572375,0,False,True
1224063931,6.0,61.0,303.329986572266,0,5.0,3.0,0,5.718112594842074,1,False,True
1224067327,5.0,43.0,2493.38989257813,2,4.0,4.0,1,7.821799446249973,1,True,False
1224069458,5.0,30.0,2075.0,0,5.0,2.0,0,7.638198244285779,1,False,True
